Message Number,Time Offset (ms),ID,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1,12.9814,0F5,8,A2,95,55,55,50,00,00,00
2,12.9807,035,8,00,00,00,00,00,00,11,51
3,12.9805,033,8,80,00,00,00,00,00,07,D0
4,12.9802,038,8,00,00,00,00,00,00,04,00
5,12.9809,053,8,04,04,00,00,80,00,00,00
6,12.5017,200,8,4B,00,00,C0,01,80,86,CC
7,12.9839,010,8,D5,33,09,94,7F,08,80,00
8,12.9617,23D,8,F9,F7,C0,00,1D,C0,00,00
9,12.9816,5AC,8,15,80,00,00,00,00,00,00
10,12.9624,091,8,09,00,00,00,00,00,00,00
11,12.9626,0D0,4,00,47,FF,00,00,00,00,00
12,12.9550,57F,4,10,09,C0,00,00,00,00,00
13,12.9851,020,8,08,B0,09,00,50,12,10,09
14,12.9853,032,8,00,00,00,00,00,00,1B,20
15,12.9760,030,8,FF,82,94,53,01,D8,21,D0
16,12.9856,03A,8,00,00,00,00,00,00,00,00
17,12.9799,040,8,AB,40,60,40,70,39,B2,24
18,12.9562,0B0,8,00,00,00,5C,88,8C,24,04
19,12.8861,12B,8,47,50,00,00,00,00,00,00
20,12.9567,380,8,00,00,00,00,A8,00,00,1C
21,12.9620,050,8,00,00,00,0A,05,CD,00,C2
22,12.8839,196,8,00,00,00,00,00,00,09,7F
23,12.9767,060,8,4A,00,4B,03,00,2C,00,00
24,12.9709,05A,8,73,BF,FF,FD,80,06,08,FB
25,12.9812,0F0,8,80,BB,00,00,2C,E6,00,2B
26,12.9069,340,8,3E,00,00,00,00,00,00,00
27,12.9368,093,8,C0,24,C1,85,E4,00,00,00
28,12.9370,0C3,8,D3,EA,21,6E,B0,00,00,00
29,12.9372,0C4,8,D3,EA,21,0B,B0,00,00,00
30,12.9374,0E0,8,21,62,50,A8,00,7D,00,30
31,12.9377,0E2,8,94,9A,00,00,00,00,00,00
32,12.8364,23B,8,00,00,00,00,00,80,00,00
33,12.9384,320,8,00,00,00,00,00,00,80,00
34,12.9711,0E3,8,10,00,5B,80,00,00,00,00
35,12.9511,120,8,8C,00,00,00,00,00,2C,00
36,12.9564,100,8,91,15,B1,40,19,CC,0E,06
37,12.8566,18A,8,80,20,00,00,61,00,00,00
38,12.8571,190,8,40,00,00,00,00,EA,C0,00
39,12.8574,1D0,8,34,C4,D8,00,A0,A0,9B,9E
40,12.8576,1F0,8,50,00,78,00,80,00,40,00
41,12.9309,0DE,8,00,00,00,00,00,00,00,00
42,12.6664,198,8,0E,80,90,02,80,12,00,00
43,12.7964,187,8,FF,20,00,00,00,00,00,00
44,12.9689,12A,8,00,00,00,00,00,00,09,7F
45,12.8872,110,8,00,00,00,2D,03,C0,2D,08
46,12.8621,130,8,00,00,00,00,00,00,00,00
47,12.6618,197,8,00,00,00,00,00,00,00,00
48,12.8773,23E,8,00,00,00,00,00,00,00,00
49,12.7768,248,8,00,00,01,12,C2,2C,00,00
50,12.9067,189,8,00,00,00,00,00,00,00,00
51,12.6577,210,8,C8,0B,56,50,6E,08,08,C8
52,12.6579,215,8,00,00,00,10,80,00,00,01
53,12.9072,360,8,02,53,30,53,31,30,35,30
54,12.9615,1E0,8,FF,E4,2F,BA,58,09,FE,00
55,12.9691,160,8,BB,9E,D2,3B,10,40,D3,00
56,12.1793,501,8,01,40,24,09,00,00,00,00
57,12.7615,185,8,61,06,01,07,01,05,00,00
58,12.9858,180,8,8A,0A,0E,0E,AC,00,94,12
59,12.9380,193,8,00,00,00,00,00,00,00,00
60,12.6872,212,8,F9,7E,2B,20,80,00,18,EF
61,12.1876,240,8,A9,55,80,01,00,00,00,0A
62,12.7871,150,8,73,B6,00,C0,D8,1E,00,08
63,12.7873,170,8,00,00,00,0A,A9,00,55,46
64,12.5881,1C0,8,7C,71,01,CC,00,1C,00,95
65,12.5885,255,8,4B,05,80,61,3B,10,00,04
66,12.5888,1A3,8,06,70,00,00,00,00,00,00
67,12.7962,140,8,08,00,00,E7,03,20,D0,3F
68,12.2064,24A,8,28,28,F9,00,14,00,00,00
69,12.7620,220,8,00,00,00,00,00,00,00,00
70,12.6916,259,8,00,00,80,00,00,00,00,00
71,12.3015,295,8,84,00,24,00,9C,00,28,00
72,12.7967,1B0,8,80,00,9B,DD,2E,40,AA,80
73,12.7713,223,8,01,34,00,00,00,00,00,00
74,12.4589,236,8,00,18,00,00,00,00,00,00
75,12.4591,237,8,20,00,00,00,00,00,00,00
76,12.4594,243,8,00,00,00,00,00,00,00,00
77,12.5871,244,8,04,00,00,00,00,00,00,00
78,12.9622,246,8,00,00,00,00,00,00,00,00
79,12.6582,250,8,90,00,BA,06,E1,00,EC,00
80,12.6584,260,8,92,00,00,60,00,18,00,72
81,12.6586,270,8,FC,42,80,00,51,2C,31,C6
82,12.6589,280,8,00,00,00,00,E2,81,00,00
83,12.6591,290,8,06,00,00,00,00,00,E0,00
84,12.6594,310,8,A0,00,93,A0,00,00,00,10
85,12.6596,330,8,C0,00,10,2A,83,E0,00,00
86,12.6623,350,8,9B,99,2D,32,17,13,82,00
87,12.6629,370,8,80,B0,8A,A2,1E,A7,C6,B5
88,12.6635,470,8,00,00,00,00,40,5C,30,00
89,11.9964,300,8,00,00,00,00,C0,8C,32,D4
